county_fips,CountyName,State,total_population,weighted_low_access,weighted_low_income_access
06089,Shasta,CA,48305.0,46.05,8.82
06093,Siskiyou,CA,8839.0,59.56,11.53
06095,Solano,CA,21910.0,60.63,8.37
06097,Sonoma,CA,7939.0,33.1,5.5
06099,Stanislaus,CA,33977.0,58.06,15.36
06101,Sutter,CA,10299.0,31.52,7.25
06103,Tehama,CA,25754.0,27.99,5.01
06105,Trinity,CA,10175.0,29.16,5.56
06107,Tulare,CA,75850.0,25.75,6.72
06109,Tuolumne,CA,7596.0,97.0,13.9
06111,Ventura,CA,47348.0,55.07,10.86
06113,Yolo,CA,12467.0,32.55,7.15
06115,Yuba,CA,9090.0,100.0,19.79
08001,Adams,CO,59872.0,61.6,5.79
08003,Alamosa,CO,6810.0,18.5,4.6
08005,Arapahoe,CO,12751.0,69.3,8.2
08007,Archuleta,CO,1123.0,67.6,8.1
08009,Baca,CO,2289.0,99.5,17.8
08011,Bent,CO,5998.0,16.0,3.1
08013,Boulder,CO,11124.0,31.53,3.89
08017,Cheyenne,CO,2231.0,33.6,4.4
08021,Conejos,CO,586.0,50.4,13.9
08023,Costilla,CO,3663.0,100.0,26.77
08025,Crowley,CO,5518.0,62.8,12.8
08027,Custer,CO,3503.0,31.4,4.0
08031,Denver,CO,82588.0,65.99,14.43
08039,Elbert,CO,1880.0,91.7,9.8
08041,El Paso,CO,69552.0,65.96,8.99
08043,Fremont,CO,10280.0,64.79,6.31
08053,Hinsdale,CO,790.0,100.0,7.2
08055,Huerfano,CO,3441.0,74.5,11.51
08059,Jefferson,CO,34260.0,32.81,4.23
08061,Kiowa,CO,1622.0,100.0,12.2
08063,Kit Carson,CO,8011.0,52.5,5.83
08069,Larimer,CO,8815.0,58.65,7.48
08071,Las Animas,CO,7225.0,46.18,7.56
08073,Lincoln,CO,2369.0,53.0,7.9
08075,Logan,CO,13385.0,50.07,5.78
08077,Mesa,CO,43536.0,63.84,7.48
08079,Mineral,CO,831.0,96.9,9.9
08081,Moffat,CO,849.0,100.0,16.5
08083,Montezuma,CO,7697.0,49.87,12.42
08085,Montrose,CO,11743.0,35.59,6.56
08087,Morgan,CO,5732.0,30.0,2.5
08089,Otero,CO,5437.0,17.0,4.0
08093,Park,CO,1828.0,87.5,12.1
08095,Phillips,CO,1519.0,92.7,9.3
08099,Prowers,CO,8433.0,48.71,10.19
08101,Pueblo,CO,29799.0,73.01,14.25
08105,Rio Grande,CO,5761.0,30.9,4.2
08109,Saguache,CO,5917.0,97.38,22.07
08111,San Juan,CO,558.0,99.4,20.8
08115,Sedgwick,CO,2747.0,19.1,2.1
08121,Washington,CO,2212.0,93.5,12.9
08123,Weld,CO,19292.0,36.4,6.72
08125,Yuma,CO,9841.0,25.34,3.13
09001,Fairfield,CT,40598.0,67.11,12.8
09003,Hartford,CT,60714.0,55.48,6.03
09005,Litchfield,CT,2426.0,22.0,2.7
09009,New Haven,CT,99993.0,43.24,5.51
09011,New London,CT,24211.0,56.61,6.47
09013,Tolland,CT,10776.0,67.36,8.64
09015,Windham,CT,5886.0,46.7,4.2
10001,Kent,DE,14046.0,72.38,8.05
10003,New Castle,DE,37594.0,79.05,17.7
10005,Sussex,DE,9259.0,77.0,4.6
11001,District of Columbia,DC,26679.0,86.25,19.62
12001,Alachua,FL,57345.0,44.76,18.71
12005,Bay,FL,22056.0,38.31,9.22
12009,Brevard,FL,70386.0,52.64,9.03
12011,Broward,FL,121001.0,52.75,9.44
12013,Calhoun,FL,3143.0,36.6,5.9
12015,Charlotte,FL,11419.0,37.31,6.53
12017,Citrus,FL,8317.0,27.3,3.1
12019,Clay,FL,4611.0,100.0,22.7
12021,Collier,FL,29461.0,56.76,12.26
12023,Columbia,FL,19281.0,21.09,3.66
12029,Dixie,FL,3675.0,23.9,3.7
12031,Duval,FL,98245.0,63.24,14.46
12033,Escambia,FL,58713.0,62.13,15.2
12043,Glades,FL,5669.0,10.9,1.8
12047,Hamilton,FL,5757.0,42.16,11.01
12049,Hardee,FL,7931.0,12.6,0.7
12051,Hendry,FL,11071.0,40.13,9.12
12053,Hernando,FL,45841.0,61.88,7.03
12055,Highlands,FL,22329.0,34.37,6.22
12057,Hillsborough,FL,129425.0,51.84,11.43
12059,Holmes,FL,5003.0,57.2,11.2
12061,Indian River,FL,5123.0,100.0,29.6
12067,Lafayette,FL,2181.0,40.5,6.7
12069,Lake,FL,22479.0,43.64,5.75
12071,Lee,FL,36668.0,63.57,10.96
12073,Leon,FL,37040.0,38.37,13.45
12075,Levy,FL,2992.0,56.2,7.5
12077,Liberty,FL,5331.0,19.5,4.3
12079,Madison,FL,3594.0,81.7,17.7
12081,Manatee,FL,13482.0,18.1,1.9
12083,Marion,FL,42429.0,50.88,8.11
12085,Martin,FL,16708.0,31.57,6.76
12086,Miami-Dade,FL,93144.0,31.96,8.91
12087,Monroe,FL,60.0,100.0,0.0
12091,Okaloosa,FL,15697.0,62.48,8.32
12095,Orange,FL,89845.0,45.68,12.21
12097,Osceola,FL,35960.0,51.22,7.14
12099,Palm Beach,FL,134481.0,56.68,12.92
12101,Pasco,FL,64790.0,60.2,7.87
12103,Pinellas,FL,71669.0,61.66,11.14
12105,Polk,FL,75192.0,62.84,11.89
12107,Putnam,FL,12785.0,18.51,5.67
12109,St. Johns,FL,7483.0,70.97,12.43
12111,St. Lucie,FL,17346.0,59.3,20.0
12113,Santa Rosa,FL,16213.0,16.9,3.37
12115,Sarasota,FL,28920.0,60.86,7.63
12117,Seminole,FL,6512.0,62.91,10.54
12121,Suwannee,FL,13698.0,22.58,3.28
12123,Taylor,FL,11343.0,42.08,9.53
12125,Union,FL,3494.0,23.0,2.8
12127,Volusia,FL,56586.0,57.44,14.23
12131,Walton,FL,10660.0,26.26,4.23
12133,Washington,FL,13370.0,64.86,12.44
13001,Appling,GA,8137.0,29.45,4.43
13003,Atkinson,GA,2121.0,90.6,21.0
13007,Baker,GA,4074.0,81.4,18.79
13009,Baldwin,GA,11604.0,71.08,13.14
13013,Barrow,GA,10739.0,30.14,3.56
13015,Bartow,GA,2911.0,97.6,11.2
13019,Berrien,GA,1515.0,86.8,9.4
13021,Bibb,GA,31364.0,28.96,6.88
13025,Brantley,GA,5231.0,37.4,5.5
13027,Brooks,GA,1675.0,59.7,15.3
13031,Bulloch,GA,13165.0,23.89,7.68
13033,Burke,GA,9522.0,27.52,7.29
13037,Calhoun,GA,2988.0,34.6,15.7
13039,Camden,GA,3928.0,59.5,3.5
13045,Carroll,GA,17874.0,70.0,10.36
13047,Catoosa,GA,4118.0,87.2,11.6
13049,Charlton,GA,2287.0,51.1,8.8
13051,Chatham,GA,41253.0,66.62,15.9
13053,Chattahoochee,GA,2832.0,99.8,21.3
13055,Chattooga,GA,6715.0,61.1,9.0
13057,Cherokee,GA,2292.0,37.5,2.3
13059,Clarke,GA,40803.0,56.23,20.89
13061,Clay,GA,3357.0,79.29,27.03
13063,Clayton,GA,124000.0,42.37,5.16
13067,Cobb,GA,74521.0,41.37,6.86
13069,Coffee,GA,3402.0,32.0,4.2
13071,Colquitt,GA,4339.0,30.5,3.9
13081,Crisp,GA,7702.0,14.2,3.0
13087,Decatur,GA,3657.0,16.0,2.5
13089,DeKalb,GA,118743.0,32.18,4.83
13093,Dooly,GA,9865.0,70.19,15.88
13095,Dougherty,GA,30490.0,63.76,23.2
13097,Douglas,GA,15690.0,56.61,9.62
13101,Echols,GA,1557.0,91.1,23.7
13105,Elbert,GA,10406.0,27.85,5.71
13107,Emanuel,GA,8615.0,45.85,12.2
13115,Floyd,GA,10502.0,29.3,9.41
13121,Fulton,GA,146377.0,57.83,17.78
13125,Glascock,GA,2556.0,49.7,9.0
13127,Glynn,GA,11152.0,55.89,13.51
13135,Gwinnett,GA,23195.0,62.6,9.02
13139,Hall,GA,12750.0,30.93,8.85
13151,Henry,GA,4732.0,25.2,2.9
13153,Houston,GA,9897.0,50.26,6.95
13159,Jasper,GA,2182.0,34.4,5.4
13161,Jeff Davis,GA,1393.0,64.8,13.4
13165,Jenkins,GA,1988.0,31.0,7.6
13167,Johnson,GA,2398.0,79.0,12.3
13175,Laurens,GA,5526.0,45.24,14.4
13179,Liberty,GA,19602.0,60.95,8.72
13183,Long,GA,4254.0,21.1,4.5
13185,Lowndes,GA,18846.0,30.13,8.15
13191,McIntosh,GA,3538.0,18.1,3.7
13195,Madison,GA,3913.0,74.2,10.0
13197,Marion,GA,7144.0,84.52,18.34
13205,Mitchell,GA,9944.0,20.54,4.18
13209,Montgomery,GA,6298.0,59.6,11.55
13213,Murray,GA,3585.0,45.3,6.3
13215,Muscogee,GA,28536.0,61.9,19.98
13217,Newton,GA,8487.0,49.21,7.63
13227,Pickens,GA,5657.0,26.2,2.7
13229,Pierce,GA,4155.0,38.81,7.09
13243,Randolph,GA,2203.0,32.2,8.4
13245,Richmond,GA,44647.0,47.99,14.43
13247,Rockdale,GA,4935.0,38.8,8.2
13251,Screven,GA,2544.0,84.8,21.5
13255,Spalding,GA,17220.0,52.73,12.62
13257,Stephens,GA,6666.0,30.7,6.9
13259,Stewart,GA,1845.0,37.2,8.9
13263,Talbot,GA,4097.0,76.29,18.48
13265,Taliaferro,GA,2077.0,60.3,13.9
13271,Telfair,GA,1186.0,69.4,12.0
13275,Thomas,GA,4523.0,51.91,10.83
13279,Toombs,GA,3189.0,58.9,15.4
13285,Troup,GA,11523.0,35.68,6.13
13293,Upson,GA,16966.0,55.36,10.38
13295,Walker,GA,13453.0,43.87,6.15
